model,cluster_id,cluster_family,n_outliers,n_cluster_related_in_outliers,n_cluster_related_in_universe,precision_outliers_vs_cluster,recall_cluster_in_universe_captured,cluster_related_outliers,cluster_related_in_universe_not_in_outliers
shadowml/BeagSake-7B,3,AiMaven-Prometheus,32,13,13,0.40625,1.0,AiMavenAi/AiMaven-Prometheus | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | fblgit/UNA-TheBeagle-7b-v1 | flemmingmiguel/MBX-7B-v3 | mlabonne/Beagle14-7B | mlabonne/Marcoro14-7B-slerp | mlabonne/NeuralBeagle14-7B | mlabonne/OmniBeagle-7B | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B,
shadowml/BeagleSempra-7B,3,AiMaven-Prometheus,31,13,13,0.419355,1.0,AiMavenAi/AiMaven-Prometheus | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | fblgit/UNA-TheBeagle-7b-v1 | flemmingmiguel/MBX-7B-v3 | mlabonne/Beagle14-7B | mlabonne/Marcoro14-7B-slerp | mlabonne/NeuralBeagle14-7B | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | shadowml/WestBeagle-7B,
shadowml/WestBeagle-7B,3,AiMaven-Prometheus,31,13,13,0.419355,1.0,AiMavenAi/AiMaven-Prometheus | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | fblgit/UNA-TheBeagle-7b-v1 | flemmingmiguel/MBX-7B-v3 | mlabonne/Beagle14-7B | mlabonne/Marcoro14-7B-slerp | mlabonne/NeuralBeagle14-7B | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B,
swiss-ai/Apertus-8B-2509,22,Apertus-8B-2509,10,1,1,0.1,1.0,adamo1139/Apertus-8B-Instruct-2509-ungated,
unsloth/Llama-3.1-8B,2,Llama-3.1-8B,27,13,14,0.481481,0.928571,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | askfjhaskjgh/UbermenschetienASI | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | meta-llama/Llama-Guard-3-8B | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,nvidia/Llama-3.1-8B-Instruct-FP8
unsloth/Llama-3.2-1B-Instruct,14,Llama-3.2-1B-Instruct,21,2,2,0.095238,1.0,bxod/Llama-3.2-1B-Instruct-uz | meta-llama/Llama-3.2-1B-Instruct,
unsloth/Llama-3.2-3B-Instruct,6,Llama-3.2-3B-Instruct,23,4,5,0.173913,0.8,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | acon96/Home-Llama-3.2-3B | inference-net/Schematron-3B | meta-llama/Llama-3.2-3B-Instruct,beruniy/Llama-3.2-3B-Instruct-Uz
unsloth/Meta-Llama-3.1-8B-Instruct,2,Llama-3.1-8B,23,12,14,0.521739,0.857143,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | askfjhaskjgh/UbermenschetienASI | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B,meta-llama/Llama-Guard-3-8B | nvidia/Llama-3.1-8B-Instruct-FP8
unsloth/Qwen2.5-0.5B-Instruct,7,Qwen2.5-0.5B,3,2,4,0.666667,0.5,Qwen/Qwen2.5-0.5B | Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B | Qwen/Qwen2.5-Coder-0.5B-Instruct
unsloth/Qwen2.5-1.5B,4,Qwen2.5-1.5B,23,7,13,0.304348,0.538462,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | SakanaAI/TinySwallow-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | Writer/palmyra-mini | nvidia/OpenMath-Nemotron-1.5B | unsloth/Qwen2.5-Math-1.5B
unsloth/Qwen2.5-1.5B-Instruct,4,Qwen2.5-1.5B,17,5,13,0.294118,0.384615,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | unsloth/Qwen2.5-1.5B,Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | Writer/palmyra-mini | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-Math-1.5B
unsloth/Qwen2.5-Math-1.5B,4,Qwen2.5-1.5B,16,5,13,0.3125,0.384615,Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B | Writer/palmyra-mini | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct
google/gemma-2-2b,9,gemma-2-2b,12,0,3,0.0,0.0,,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0 | google/gemma-2-2b-it | google/gemma-2-2b-jpn-it
Qwen/Qwen2.5-Coder-0.5B,7,Qwen2.5-0.5B,13,1,4,0.076923,0.25,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct | Qwen/Qwen2.5-Coder-0.5B-Instruct | unsloth/Qwen2.5-0.5B-Instruct
_SUMMARY_,,,2830,723,1028,0.255477,0.703307,micro_TP=723_pred=2830_gold_universe_sum=1028,rows_with_cluster_peer_in_universe=125
