model,outlier_count_csv,n_outliers_parsed,n_graph_distance_defined,n_graph_distance_missing,outliers_missing_graph_distance,mean_graph_distance_to_outliers
gradientai/Llama-3-8B-Instruct-262k,26,26,0,26,S4nfs/Neeto-1.0-8b | aisingapore/Llama-SEA-LION-v3-8B | microsoft/UserLM-8b | allenai/Llama-3.1-Tulu-3-8B-SFT | unsloth/Llama-3.1-8B | meta-llama/Llama-3.1-8B | elyza/Llama-3-ELYZA-JP-8B | NousResearch/Hermes-3-Llama-3.1-8B | askfjhaskjgh/UbermenschetienASI | dphn/Dolphin3.0-Llama3.1-8B | allenai/llama-3.1-tulu-2-8b | arcee-ai/Llama-3.1-SuperNova-Lite | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | nvidia/OpenMath2-Llama3.1-8B | inference-net/Schematron-3B | acon96/Home-Llama-3.2-3B | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | HuggingFaceTB/SmolLM3-3B | HuggingFaceTB/SmolLM3-3B-Base,
huihui-ai/Huihui-Jan-v1-4B-abliterated,9,9,8,1,beyoru/Luna,8.75
inference-net/Schematron-3B,20,20,7,13,meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | arcee-ai/Llama-3.1-SuperNova-Lite | nvidia/OpenMath2-Llama3.1-8B | elyza/Llama-3-ELYZA-JP-8B | aisingapore/Llama-SEA-LION-v3-8B | microsoft/UserLM-8b | dphn/Dolphin3.0-Llama3.1-8B | gradientai/Llama-3-8B-Instruct-262k | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | NousResearch/Hermes-3-Llama-3.1-8B | allenai/llama-3.1-tulu-2-8b,4.571429
janhq/Jan-v1-4B,10,10,9,1,beyoru/Luna,8.222222
janhq/Jan-v1-edge,16,16,15,1,beyoru/Luna,10.733333
jiawei-ucas/Qwen-2.5-7B-ConsistentChat,19,19,19,0,,5.842105
kevin009/llamaRAGdrama,31,31,0,31,flemmingmiguel/MBX-7B-v3 | AiMavenAi/AiMaven-Prometheus | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare | CorticalStack/pastiche-crown-clown-7b-dare-dpo | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | FelixChao/Sectumsempra-7B-DPO | mlabonne/NeuralBeagle14-7B | CultriX/NeuralTrix-7B-dpo | shadowml/BeagleSempra-7B | shadowml/BeagSake-7B | CultriX/NeuralTrix-bf16 | argilla/distilabeled-Marcoro14-7B-slerp | shadowml/WestBeagle-7B | mlabonne/OmniBeagle-7B | mlabonne/Marcoro14-7B-slerp | mlabonne/Beagle14-7B | fblgit/UNA-TheBeagle-7b-v1 | berkeley-nest/Starling-LM-7B-alpha | mistralai/Mistral-7B-v0.1 | Intel/neural-chat-7b-v3-3 | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | SciPhi/SciPhi-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2,
lmsys/vicuna-7b-v1.1,11,11,4,7,AdaptLLM/medicine-LLM | PharMolix/BioMedGPT-LM-7B | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | TinyLlama/TinyLlama_v1.1_math_code | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama-1.1B-Chat-v1.0,10.0
lmsys/vicuna-7b-v1.5,11,11,4,7,PharMolix/BioMedGPT-LM-7B | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | AdaptLLM/medicine-LLM | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama_v1.1_math_code,10.0
lmsys/vicuna-7b-v1.5-16k,38,38,4,34,PharMolix/BioMedGPT-LM-7B | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | AdaptLLM/medicine-LLM | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama_v1.1_math_code | mistralai/Mistral-7B-v0.1 | flemmingmiguel/MBX-7B-v3 | AiMavenAi/AiMaven-Prometheus | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | shadowml/WestBeagle-7B | mlabonne/Beagle14-7B | mlabonne/Marcoro14-7B-slerp | Nexusflow/Starling-LM-7B-beta | bardsai/jaskier-7b-dpo-v5.6 | fblgit/UNA-TheBeagle-7b-v1 | mlabonne/OmniBeagle-7B | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CorticalStack/pastiche-crown-clown-7b-dare | BioMistral/BioMistral-7B | SciPhi/SciPhi-Mistral-7B-32k | CultriX/NeuralTrix-7B-dpo | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | berkeley-nest/Starling-LM-7B-alpha | Intel/neural-chat-7b-v3-1 | mlabonne/NeuralBeagle14-7B | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | CultriX/NeuralTrix-bf16 | Intel/neural-chat-7b-v3-3 | dicta-il/dictalm2.0,10.0
meta-llama/Llama-3.1-8B-Instruct,22,22,13,9,gradientai/Llama-3-8B-Instruct-262k | elyza/Llama-3-ELYZA-JP-8B | S4nfs/Neeto-1.0-8b | acon96/Home-Llama-3.2-3B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | inference-net/Schematron-3B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,1.769231
meta-llama/Llama-3.2-1B-Instruct,26,26,7,19,unsloth/Meta-Llama-3.1-8B-Instruct | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | arcee-ai/Llama-3.1-SuperNova-Lite | aisingapore/Llama-SEA-LION-v3-8B | allenai/llama-3.1-tulu-2-8b | dphn/Dolphin3.0-Llama3.1-8B | nvidia/OpenMath2-Llama3.1-8B | gradientai/Llama-3-8B-Instruct-262k | microsoft/UserLM-8b | HuggingFaceTB/SmolLM3-3B-Base | NousResearch/Hermes-3-Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | elyza/Llama-3-ELYZA-JP-8B | HuggingFaceTB/SmolLM3-3B | S4nfs/Neeto-1.0-8b | deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8.0
meta-llama/Llama-3.2-3B-Instruct,20,20,6,14,arcee-ai/Llama-3.1-SuperNova-Lite | unsloth/Meta-Llama-3.1-8B-Instruct | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | nvidia/OpenMath2-Llama3.1-8B | elyza/Llama-3-ELYZA-JP-8B | aisingapore/Llama-SEA-LION-v3-8B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | allenai/llama-3.1-tulu-2-8b | microsoft/UserLM-8b | dphn/Dolphin3.0-Llama3.1-8B | gradientai/Llama-3-8B-Instruct-262k | HuggingFaceTB/SmolLM3-3B | HuggingFaceTB/SmolLM3-3B-Base,4.166667
meta-llama/Llama-Guard-3-8B,26,26,14,12,gradientai/Llama-3-8B-Instruct-262k | elyza/Llama-3-ELYZA-JP-8B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | S4nfs/Neeto-1.0-8b | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | inference-net/Schematron-3B | acon96/Home-Llama-3.2-3B | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | beruniy/Llama-3.2-3B-Instruct-Uz | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct,2.214286
meta-llama/Llama-3.1-8B,27,27,14,13,S4nfs/Neeto-1.0-8b | gradientai/Llama-3-8B-Instruct-262k | elyza/Llama-3-ELYZA-JP-8B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | inference-net/Schematron-3B | HuggingFaceTB/SmolLM3-3B-Base | acon96/Home-Llama-3.2-3B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | HuggingFaceTB/SmolLM3-3B | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct,1.285714
microsoft/UserLM-8b,25,25,14,11,gradientai/Llama-3-8B-Instruct-262k | S4nfs/Neeto-1.0-8b | elyza/Llama-3-ELYZA-JP-8B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | HuggingFaceTB/SmolLM3-3B | inference-net/Schematron-3B | acon96/Home-Llama-3.2-3B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | HuggingFaceTB/SmolLM3-3B-Base,2.214286
mistralai/Mistral-7B-Instruct-v0.1,31,31,8,23,kevin009/llamaRAGdrama | Biomimicry-AI/ANIMA-Nectar-v2 | argilla/distilabeled-Marcoro14-7B-slerp | shadowml/WestBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | mlabonne/NeuralBeagle14-7B | mlabonne/Marcoro14-7B-slerp | mlabonne/Beagle14-7B | mlabonne/OmniBeagle-7B | AiMavenAi/AiMaven-Prometheus | fblgit/UNA-TheBeagle-7b-v1 | flemmingmiguel/MBX-7B-v3 | FelixChao/Sectumsempra-7B-DPO | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CultriX/NeuralTrix-7B-dpo | Nexusflow/Starling-LM-7B-beta | CorticalStack/pastiche-crown-clown-7b-dare | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-bf16 | berkeley-nest/Starling-LM-7B-alpha | dicta-il/dictalm2.0,6.625
mistralai/Mistral-7B-v0.1,31,31,8,23,mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Beagle14-7B | shadowml/WestBeagle-7B | fblgit/UNA-TheBeagle-7b-v1 | shadowml/BeagSake-7B | mlabonne/NeuralBeagle14-7B | shadowml/BeagleSempra-7B | FelixChao/Sectumsempra-7B-DPO | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | kevin009/llamaRAGdrama | mlabonne/OmniBeagle-7B | Nexusflow/Starling-LM-7B-beta | CorticalStack/pastiche-crown-clown-7b-dare | bardsai/jaskier-7b-dpo-v5.6 | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | berkeley-nest/Starling-LM-7B-alpha | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,5.75
mlabonne/Beagle14-7B,32,32,7,25,mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | bardsai/jaskier-7b-dpo-v5.6 | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CorticalStack/pastiche-crown-clown-7b-dare | FelixChao/Sectumsempra-7B-DPO | CorticalStack/pastiche-crown-clown-7b-dare-dpo | kevin009/llamaRAGdrama | CultriX/NeuralTrix-bf16 | mistralai/Mistral-7B-v0.1 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-3 | SciPhi/SciPhi-Mistral-7B-32k | Intel/neural-chat-7b-v3-1 | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2 | PharMolix/BioMedGPT-LM-7B,2.857143
mlabonne/Marcoro14-7B-slerp,31,31,1,30,mlabonne/Beagle14-7B | mlabonne/NeuralBeagle14-7B | fblgit/UNA-TheBeagle-7b-v1 | shadowml/WestBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | AiMavenAi/AiMaven-Prometheus | FelixChao/Sectumsempra-7B-DPO | flemmingmiguel/MBX-7B-v3 | CorticalStack/pastiche-crown-clown-7b-dare | mlabonne/OmniBeagle-7B | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CorticalStack/pastiche-crown-clown-7b-dare-dpo | bardsai/jaskier-7b-dpo-v5.6 | mistralai/Mistral-7B-v0.1 | kevin009/llamaRAGdrama | CultriX/NeuralTrix-7B-dpo | Nexusflow/Starling-LM-7B-beta | berkeley-nest/Starling-LM-7B-alpha | CultriX/NeuralTrix-bf16 | Intel/neural-chat-7b-v3-3 | HuggingFaceH4/zephyr-7b-beta | Intel/neural-chat-7b-v3-1 | BioMistral/BioMistral-7B-DARE | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | SciPhi/SciPhi-Mistral-7B-32k | BioMistral/BioMistral-7B | dicta-il/dictalm2.0 | mistralai/Mistral-7B-Instruct-v0.1 | Biomimicry-AI/ANIMA-Nectar-v2,1.0
mlabonne/NeuralBeagle14-7B,31,31,7,24,argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Marcoro14-7B-slerp | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | FelixChao/Sectumsempra-7B-DPO | kevin009/llamaRAGdrama | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-bf16 | mistralai/Mistral-7B-v0.1 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2,2.285714
mlabonne/OmniBeagle-7B,31,31,7,24,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CorticalStack/pastiche-crown-clown-7b-dare | FelixChao/Sectumsempra-7B-DPO | AiMavenAi/AiMaven-Prometheus | CorticalStack/pastiche-crown-clown-7b-dare-dpo | flemmingmiguel/MBX-7B-v3 | bardsai/jaskier-7b-dpo-v5.6 | CultriX/NeuralTrix-bf16 | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Marcoro14-7B-slerp | kevin009/llamaRAGdrama | mistralai/Mistral-7B-v0.1 | berkeley-nest/Starling-LM-7B-alpha | Intel/neural-chat-7b-v3-1 | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-3 | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2,2.571429
nvidia/Llama-3.1-8B-Instruct-FP8,11,11,0,11,adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | swiss-ai/Apertus-8B-2509 | bigscience/bloomz-1b7,
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,11,11,11,0,,2.181818
nvidia/OpenCodeReasoning-Nemotron-7B,13,13,13,0,,3.769231
nvidia/OpenMath-Nemotron-1.5B,6,6,6,0,,5.333333
nvidia/OpenMath2-Llama3.1-8B,24,24,13,11,elyza/Llama-3-ELYZA-JP-8B | gradientai/Llama-3-8B-Instruct-262k | S4nfs/Neeto-1.0-8b | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | acon96/Home-Llama-3.2-3B | inference-net/Schematron-3B | HuggingFaceTB/SmolLM3-3B-Base | HuggingFaceTB/SmolLM3-3B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,2.230769
nvidia/OpenReasoning-Nemotron-1.5B,11,11,10,1,beyoru/Luna,5.9
shadowml/BeagSake-7B,31,31,7,24,AiMavenAi/AiMaven-Prometheus | argilla/distilabeled-Marcoro14-7B-slerp | FelixChao/Sectumsempra-7B-DPO | CorticalStack/pastiche-crown-clown-7b-dare | flemmingmiguel/MBX-7B-v3 | mlabonne/Marcoro14-7B-slerp | CorticalStack/pastiche-crown-clown-7b-dare-dpo | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | kevin009/llamaRAGdrama | CultriX/NeuralTrix-bf16 | mistralai/Mistral-7B-v0.1 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | SciPhi/SciPhi-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,2.857143
shadowml/BeagleSempra-7B,31,31,7,24,FelixChao/Sectumsempra-7B-DPO | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | AiMavenAi/AiMaven-Prometheus | CorticalStack/pastiche-crown-clown-7b-dare | flemmingmiguel/MBX-7B-v3 | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Marcoro14-7B-slerp | CorticalStack/pastiche-crown-clown-7b-dare-dpo | bardsai/jaskier-7b-dpo-v5.6 | CultriX/NeuralTrix-bf16 | kevin009/llamaRAGdrama | mistralai/Mistral-7B-v0.1 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-1 | Intel/neural-chat-7b-v3-3 | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Mistral-7B-32k | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B-DARE | BioMistral/BioMistral-7B | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,2.0
shadowml/WestBeagle-7B,31,31,7,24,AiMavenAi/AiMaven-Prometheus | argilla/distilabeled-Marcoro14-7B-slerp | flemmingmiguel/MBX-7B-v3 | mlabonne/Marcoro14-7B-slerp | FelixChao/Sectumsempra-7B-DPO | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CorticalStack/pastiche-crown-clown-7b-dare | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-bf16 | kevin009/llamaRAGdrama | mistralai/Mistral-7B-v0.1 | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-3 | berkeley-nest/Starling-LM-7B-alpha | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,2.0
swiss-ai/Apertus-8B-2509,10,10,1,9,bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8,1.0
unsloth/Llama-3.1-8B,27,27,14,13,S4nfs/Neeto-1.0-8b | gradientai/Llama-3-8B-Instruct-262k | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | elyza/Llama-3-ELYZA-JP-8B | inference-net/Schematron-3B | acon96/Home-Llama-3.2-3B | HuggingFaceTB/SmolLM3-3B-Base | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | HuggingFaceTB/SmolLM3-3B,2.214286
unsloth/Llama-3.2-1B-Instruct,21,21,7,14,meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | arcee-ai/Llama-3.1-SuperNova-Lite | aisingapore/Llama-SEA-LION-v3-8B | nvidia/OpenMath2-Llama3.1-8B | microsoft/UserLM-8b | gradientai/Llama-3-8B-Instruct-262k | elyza/Llama-3-ELYZA-JP-8B | allenai/llama-3.1-tulu-2-8b | dphn/Dolphin3.0-Llama3.1-8B | HuggingFaceTB/SmolLM3-3B-Base | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | HuggingFaceTB/SmolLM3-3B,8.857143
unsloth/Llama-3.2-3B-Instruct,24,24,6,18,unsloth/Meta-Llama-3.1-8B-Instruct | meta-llama/Llama-3.1-8B-Instruct | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | arcee-ai/Llama-3.1-SuperNova-Lite | aisingapore/Llama-SEA-LION-v3-8B | nvidia/OpenMath2-Llama3.1-8B | elyza/Llama-3-ELYZA-JP-8B | allenai/llama-3.1-tulu-2-8b | microsoft/UserLM-8b | dphn/Dolphin3.0-Llama3.1-8B | gradientai/Llama-3-8B-Instruct-262k | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | S4nfs/Neeto-1.0-8b | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | NousResearch/Hermes-3-Llama-3.1-8B | HuggingFaceTB/SmolLM3-3B-Base,5.0
unsloth/Meta-Llama-3.1-8B-Instruct,23,23,13,10,elyza/Llama-3-ELYZA-JP-8B | gradientai/Llama-3-8B-Instruct-262k | acon96/Home-Llama-3.2-3B | S4nfs/Neeto-1.0-8b | unsloth/Llama-3.2-3B-Instruct | meta-llama/Llama-3.2-3B-Instruct | inference-net/Schematron-3B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | HuggingFaceTB/SmolLM3-3B,2.692308
unsloth/Qwen2.5-0.5B-Instruct,3,3,3,0,,5.0
unsloth/Qwen2.5-1.5B,23,23,22,1,beyoru/Luna,8.681818
unsloth/Qwen2.5-1.5B-Instruct,16,16,15,1,beyoru/Luna,9.066667
unsloth/Qwen2.5-Math-1.5B,16,16,16,0,,9.9375
